YEAR,MONTH,ALLSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,RH2M,T2M,WS2M,MONTH_NUM
2000,APR,24.28,0.37,0.37,2.51,62.64,19.75,2.66,4
2000,AUG,21.79,0.4,0.41,3.24,67.09,17.03,2.31,8
2000,DEC,21.67,0.4,0.39,1.92,67.22,17.98,2.27,12
2000,FEB,27.64,0.37,0.32,0.15,47.16,18.9,2.76,2
2000,JAN,25.25,0.4,0.36,0.42,58.44,17.61,2.61,1
2000,JUL,21.31,0.37,0.37,2.09,67.12,17.03,2.13,7
2000,JUN,21.0,0.36,0.34,1.13,64.7,17.88,2.55,6
2000,MAR,25.7,0.35,0.31,0.81,56.52,19.83,2.71,3
2000,MAY,22.96,0.37,0.36,1.4,62.57,19.4,2.88,5
2000,NOV,19.34,0.41,0.41,3.45,71.82,17.97,2.33,11
2000,OCT,23.58,0.39,0.37,1.69,60.13,18.86,2.5,10
2000,SEP,25.05,0.4,0.39,1.68,61.94,18.14,2.42,9
2001,APR,22.55,0.46,0.5,6.13,73.33,18.69,2.11,4
2001,AUG,21.94,0.46,0.49,3.19,70.8,16.85,1.86,8
2001,DEC,20.42,0.46,0.46,1.28,74.94,17.0,2.34,12
2001,FEB,25.45,0.4,0.36,0.49,57.61,18.86,2.36,2
2001,JAN,21.53,0.43,0.44,4.11,68.67,17.54,1.95,1
2001,JUL,20.75,0.44,0.46,3.24,73.89,16.55,1.73,7
2001,JUN,20.28,0.44,0.46,2.78,72.6,17.09,1.89,6
2001,MAR,23.33,0.39,0.39,3.55,58.84,19.31,2.25,3
2001,MAY,23.0,0.45,0.46,2.29,71.16,18.49,2.49,5
2001,NOV,19.1,0.49,0.54,6.4,79.36,17.3,1.91,11
2001,OCT,23.29,0.42,0.42,2.94,65.84,18.43,1.89,10
2001,SEP,24.27,0.44,0.44,1.88,67.17,17.97,1.69,9
2002,APR,21.13,0.45,0.48,6.87,73.33,18.78,2.29,4
